"family","description"
"PF03672","Uncharacterised protein family (UPF0154)"
"PF03675","UPF0132"
"PF03676","Uncharacterised protein family (UPF0183)"
"PF03681","Uncharacterised protein family (UPF0150)"
"PF03689","Nepo_coat_N"
"PF03690","Uncharacterised protein family (UPF0160)"
"PF03691","Uncharacterised protein family (UPF0167)"
"PF03692","Putative zinc- or iron-chelating domain"
"PF03693","Uncharacterised protein family (UPF0156)"
"PF03694","Erg28 like protein"
"PF03695","Uncharacterised protein family (UPF0149)"
"PF03698","UPF0180"
"PF03699","Uncharacterised protein family (UPF0182)"
"PF03702","Uncharacterised protein family (UPF0075)"
"PF03703","DUF304"
"PF03704","Bacterial transcriptional activator domain"
"PF03705","CheR_N"
"PF03706","Uncharacterised protein family (UPF0104)"
"PF03707","Bacterial signalling protein N terminal repeat"
"PF03709","OKR_DC_1_N"
"PF03710","Glutamate-ammonia ligase adenylyltransferase"
"PF03711","Orn/Lys/Arg decarboxylase, C-terminal domain"
"PF03712","Cu2_monoox_C"
"PF03713","DUF305"
"PF03715","Noc2p family"
"PF03716","WCCH"
"PF03717","PBP_dimer"
"PF03718","Glycosyl hydrolase family 49"
"PF03719","Ribosomal protein S5, C-terminal domain"
"PF03720","UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain"
"PF03721","UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
"PF03723","Hemocyanin, ig-like domain"
"PF03724","META domain"
"PF03725","3' exoribonuclease family, domain 2"
"PF03726","PNPase"
"PF03727","Hexokinase"
"PF03729","DUF308"
"PF03730","Ku70/Ku80 C-terminal arm"
"PF03731","Ku70/Ku80 N-terminal alpha/beta domain"
"PF03732","Retrotransposon gag protein"
"PF03733","Domain of unknown function (DUF307)"
"PF03734","L,D-transpeptidase catalytic domain"
"PF03736","EPTP domain"
"PF03737","Demethylmenaquinone methyltransferase"
"PF03738","Glutathionylspermidine synthase preATP-grasp"
"PF03739","Predicted permease YjgP/YjgQ family"
"PF03741","TerC"
"PF03743","Bacterial conjugation TrbI-like protein"
"PF03744","BioW"
"PF03746","LamB/YcsF family"
"PF03747","ADP-ribosylglycohydrolase"
"PF03748","FliL"
"PF03749","Sugar fermentation stimulation protein"
"PF03752","Short repeats of unknown function"
"PF03755","YicC-like family, N-terminal region"
"PF03756","AfsA"
"PF03758","HMMPfam"
"PF03761","DUF316"
"PF03764","Elongation factor G, domain IV"
"PF03765","CRAL/TRIO, N-terminal domain"
"PF03767","Acid_phosphat_B"
"PF03770","Inositol polyphosphate kinase"
"PF03772","Competence protein"
"PF03773","DUF318"
"PF03776","MinE"
"PF03777","Small secreted domain (DUF320)"
"PF03778","DUF321"
"PF03780","DUF322"
"PF03781","Sulfatase-modifying factor enzyme 1"
"PF03783","Curli production assembly/transport component CsgG"
"PF03786","D-mannonate dehydratase (UxuA)"
"PF03787","RAMPs"
"PF03788","LrgA family"
"PF03790","KNOX1 domain"
"PF03791","KNOX2"
"PF03793","PASTA"
"PF03794","HMMPfam"
"PF03795","YCII-related domain"
"PF03796","DnaB_C"
"PF03797","Autotransporter beta-domain"
"PF03798","TLC domain"
"PF03800","Nuf2 family"
"PF03801","HEC/Ndc80p family"
"PF03803","Scramblase"
"PF03805","Cytoadherence-linked asexual protein"
"PF03806","AbgT putative transporter family"
"PF03807","NADP oxidoreductase coenzyme F420-dependent"
"PF03808","Glyco_tran_WecB"
"PF03810","Importin-beta N-terminal domain"
"PF03811","Ins_element1"
"PF03813","Nrap protein"
"PF03814","KdpA"
"PF03815","LCCL domain"
"PF03816","Cell envelope-related transcriptional attenuator domain"
"PF03819","MazG nucleotide pyrophosphohydrolase domain"
"PF03820","Tricarboxylate carrier"
"PF03822","NAF domain"
"PF03824","High-affinity nickel-transport protein"
"PF03825","Nucleoside H+ symporter"
"PF03828","Cid1 family poly A polymerase"
"PF03829","PTS system glucitol/sorbitol-specific IIA component"
"PF03830","PTS system sorbose subfamily IIB component"
"PF03831","HMMPfam"
"PF03834","Binding domain of DNA repair protein Ercc1 (rad10/Swi10)"
"PF03835","Rad4 transglutaminase-like domain"
"PF03836","RasGAP C-terminus"
"PF03837","RecT family"
"PF03838","RecU"
"PF03839","Translocation protein Sec62"
"PF03840","Preprotein translocase SecG subunit"
"PF03845","HMMPfam"
"PF03847","Transcription initiation factor TFIID subunit A"
"PF03848","TehB"
"PF03849","Transcription factor Tfb2"
"PF03850","Transcription factor Tfb4"
"PF03851","UV-endonuclease UvdE"
"PF03853","YjeF-related protein N-terminus"
"PF03855","M-factor"
"PF03856","Beta-glucosidase (SUN family)"
"PF03861","ANTAR domain"
"PF03864","Phage major capsid protein E"
"PF03868","Ribosomal protein L6, N-terminal domain"
"PF03869","Arc"
"PF03870","RNA polymerase Rpb8"
"PF03871","RNA polymerase Rpb5, N-terminal domain"
"PF03873","RseA_C"
"PF03874","RNA polymerase Rpb4"
"PF03876","SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397"
"PF03878","YIF1"
"PF03879","Cgr1 family"
"PF03880","DbpA"
"PF03881","Fructosamine kinase"
"PF03884","Domain of unknown function (DUF329)"
"PF03885","DUF327"
"PF03889","DUF331"
"PF03891","Domain of unknown function (DUF333)"
"PF03893","Lipase 3 N-terminal region"
"PF03894","D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase"
"PF03895","YadA-like C-terminal region"
"PF03896","Translocon-associated protein (TRAP), alpha subunit"
"PF03900","Porphobilinogen deaminase, C-terminal domain"
"PF03901","Alg9-like mannosyltransferase family"
"PF03902","Gal4-like dimerisation domain"
"PF03903","Phage_T4_gp36"
"PF03907","Spo7-like protein"
"PF03908","Sec20"
"PF03909","BSD domain"
"PF03911","Sec61beta family"
"PF03914","CBF/Mak21 family"
"PF03915","Actin interacting protein 3"
"PF03916","Polysulphide reductase, NrfD"
"PF03917","Eukaryotic glutathione synthase, ATP binding domain"
"PF03919","mRNA capping enzyme, C-terminal domain"
"PF03920","TLE_N"
"PF03924","CHASE domain"
"PF03926","DUF335"
"PF03928","Domain of unknown function (DUF336)"
"PF03929","PepSY_TM"
"PF03930","Recombinase Flp protein N-terminus"
"PF03931","Skp1 family, tetramerisation domain"
"PF03932","CutC family"
"PF03935","Beta-glucan synthesis-associated protein (SKN1)"
"PF03936","Terpene synthase family, metal binding domain"
"PF03937","Flavinator of succinate dehydrogenase"
"PF03938","OmpH"
"PF03939","Ribosomal protein L23, N-terminal domain"
"PF03941","Inner centromere protein, ARK binding region"
"PF03942","DTW domain"
"PF03943","TAP C-terminal domain"
"PF03944","delta endotoxin"
"PF03945","Endotoxin_N"
"PF03946","Ribosomal protein L11, N-terminal domain"
"PF03947","Ribosomal Proteins L2, C-terminal domain"
"PF03948","Ribosomal protein L9, C-terminal domain"
"PF03949","Malic enzyme, NAD binding domain"
"PF03950","tRNA synthetases class I (E and Q), anti-codon binding domain"
"PF03951","Glutamine synthetase, beta-Grasp domain"
"PF03952","Enolase, N-terminal domain"
"PF03953","Tubulin C-terminal domain"
"PF03955","Adenovirus hexon-associated protein (IX)"
"PF03956","DUF340"
"PF03959","Serine hydrolase (FSH1)"
"PF03960","ArsC family"
"PF03962","Mnd1 family"
"PF03963","FlgD"
"PF03964","Chorion family 2"
"PF03965","Pencillinase_R"
"PF03966","Trm112p-like protein"
"PF03968","OstA"
"PF03969","AFG1-like ATPase"
"PF03972","MmgE/PrpD family"
"PF03976","Polyphosphate kinase 2 (PPK2)"
"PF03979","Sigma70_r1_1"
"PF03980","Nnf1"
"PF03981","Ubiquinol-cytochrome C chaperone"
"PF03982","Diacylglycerol acyltransferase"
"PF03983","SLA1 homology domain 1, SHD1"
"PF03984","Repeat of unknown function (DUF346)"
"PF03985","Paf1"
"PF03986","Autophagocytosis associated protein (Atg3), N-terminal domain"
"PF03987","Autophagocytosis associated protein, active-site domain"
"PF03988","Repeat of Unknown Function (DUF347)"
"PF03989","DNA_gyraseA_C"
"PF03990","Domain of unknown function (DUF348)"
"PF03991","Copper binding octapeptide repeat"
"PF03992","Antibiotic biosynthesis monooxygenase"
"PF03995","Peptidase inhibitor family I36"
"PF03997","VPS28 protein"
"PF03998","Utp11 protein"
"PF03999","Microtubule associated protein (MAP65/ASE1 family)"
"PF04000","Sas10/Utp3/C1D family"
"PF04001","Transcription factor Vhr1"
"PF04002","RadC"
"PF04003","Dip2/Utp12 Family"
"PF04004","Leo1-like protein"
"PF04005","Hus1-like protein"
"PF04006","Mpp10 protein"
"PF04008","DUF355"
"PF04010","Protein of unknown function (DUF357)"
"PF04011","LemA family"
"PF04012","PspA_IM30"
"PF04015","Domain of unknown function (DUF362)"
"PF04018","Domain of unknown function (DUF368)"
"PF04020","Membrane protein of unknown function"
"PF04022","Staphylcoagulse"
"PF04023","FeoA"
"PF04029","2-phosphosulpholactate phosphatase"
"PF04030","D-arabinono-1,4-lactone oxidase"
"PF04031","Las1-like"
"PF04032","RNAse P Rpr2/Rpp21/SNM1 subunit domain"
"PF04034","Domain of unknown function (DUF367)"
"PF04037","Domain of unknown function (DUF382)"
"PF04041","DUF377"
"PF04042","DNA polymerase alpha/epsilon subunit B"
"PF04044","Nup133"
"PF04045","Arp2/3 complex, 34 kD subunit p34-Arc"
"PF04046","PSP"
"PF04047","PWP2"
"PF04048","Sec8 exocyst complex component specific domain"
"PF04049","Anaphase promoting complex subunit 8 / Cdc23"
"PF04050","Up-frameshift suppressor 2"
"PF04051","Transport protein particle (TRAPP) component"
"PF04053","Coatomer WD associated region"
"PF04054","CCR4-Not complex component, Not1"
"PF04055","Radical SAM superfamily"
"PF04056","Ssl1-like"
"PF04057","Replication factor-A protein 1, N-terminal domain"
"PF04058","HMMPfam"
"PF04059","RNA recognition motif 2"
"PF04061","ORMDL family"
"PF04062","ARP2/3 complex ARPC3 (21 kDa) subunit"
"PF04063","Domain of unknown function (DUF383)"
"PF04064","Domain of unknown function (DUF384)"
"PF04065","Not1 N-terminal domain, CCR4-Not complex component"
"PF04066","MrpF_PhaF"
"PF04068","Possible Fer4-like domain in RNase L inhibitor, RLI"
"PF04069","OpuAC"
"PF04071","Cysteine-rich small domain"
"PF04072","Leucine carboxyl methyltransferase"
"PF04073","Aminoacyl-tRNA editing domain"
"PF04078","Cell differentiation family, Rcd1-like"
"PF04079","DUF387"
"PF04080","Per1-like"
"PF04081","DNA polymerase delta, subunit 4"
"PF04082","Fungal specific transcription factor domain"
"PF04083","Partial alpha/beta-hydrolase lipase region"
"PF04084","Origin recognition complex subunit 2"
"PF04085","MreC"
"PF04086","Signal recognition particle, alpha subunit, N-terminal"
"PF04088","Peroxin 13, N-terminal region"
"PF04089","BRICHOS"
"PF04090","RNA polymerase I specific initiation factor"
"PF04091","Exocyst complex subunit Sec15-like"
"PF04094","Protein of unknown function (DUF390)"
"PF04095","Nicotinate phosphoribosyltransferase (NAPRTase) family"
"PF04096","Nucleoporin autopeptidase"
"PF04097","Nup93/Nic96"
"PF04098","Rad52/22 family double-strand break repair protein"
"PF04099","Sybindin-like family"
"PF04100","Vps53-like, N-terminal"
"PF04101","Glycosyltransferase family 28 C-terminal domain"
"PF04104","Eukaryotic and archaeal DNA primase, large subunit"
"PF04106","Autophagy protein Apg5"
"PF04107","GCS2"
"PF04108","Autophagy protein Apg17"
"PF04109","Autophagy protein Apg9"
"PF04110","APG12"
"PF04111","Autophagy protein Apg6"
"PF04112","Mak10 subunit, NatC N(alpha)-terminal acetyltransferase"
"PF04113","Gpi16 subunit, GPI transamidase component"
"PF04114","Gaa1-like, GPI transamidase component"
"PF04115","Ureidoglycolate hydrolase"
"PF04116","Fatty acid hydroxylase superfamily"
"PF04117","Mpv17 / PMP22 family"
"PF04118","Dopey, N-terminal"
"PF04119","Heat shock protein 9/12"
"PF04120","Iron_permease"
"PF04121","Nuclear pore protein 84 / 107"
"PF04122","HMMPfam"
"PF04123","Domain of unknown function (DUF373)"
"PF04124","Dor1-like family"
"PF04126","Cyclophilin-like"
"PF04127","DNA / pantothenate metabolism flavoprotein"
"PF04128","Psf2"
"PF04129","Vps52 / Sac2 family"
"PF04130","Spc97 / Spc98 family"
"PF04131","NanE"
"PF04132","Vps36"
"PF04133","Vacuolar protein sorting 55"
"PF04134","Protein of unknown function, DUF393"
"PF04135","Nucleolar RNA-binding protein, Nop10p family"
"PF04136","Sec34-like family"
"PF04137","Endoplasmic Reticulum Oxidoreductin 1 (ERO1)"
"PF04138","GtrA-like protein"
"PF04139","Rad9"
"PF04140","Isoprenylcysteine carboxyl methyltransferase (ICMT) family"
"PF04142","Nucleotide-sugar transporter"
"PF04143","Sulphur transport"
"PF04144","SCAMP"
"PF04145","Ctr copper transporter family"
"PF04146","YT521-B-like domain"
"PF04147","Nop14-like family"
"PF04148","Transmembrane adaptor Erv26"
"PF04149","DUF397"
"PF04150","HMMPfam"
"PF04152","Mre11 DNA-binding presumed domain"
"PF04153","NOT2 / NOT3 / NOT5 family"
"PF04154","HMMPfam"
"PF04156","IncA"
"PF04157","EAP30/Vps36 family"
"PF04158","Sof1-like domain"
"PF04161","Arv1"
"PF04163","Tht1-like nuclear fusion protein"
"PF04166","PdxA"
"PF04167","DUF402"
"PF04169","DUF404"
"PF04172","LrgB"
"PF04174","DUF407"
"PF04175","Protein of unknown function (DUF406)"
"PF04176","TIP41-like family"
"PF04177","TAP42-like family"
"PF04178","Got1/Sft2-like family"
"PF04179","Initiator tRNA phosphoribosyl transferase"
"PF04180","Low temperature viability protein"
"PF04181","Rtr1/RPAP2 family"
"PF04182","B-block binding subunit of TFIIIC"
"PF04183","IucA/IucC"
"PF04185","Phosphoesterase family"
"PF04186","FxsA"
"PF04187","Protein of unknown function, DUF399"
"PF04188","Mannosyltransferase (PIG-V))"
"PF04189","Gcd10p family"
"PF04190","Protein of unknown function (DUF410)"
"PF04191","Phospholipid methyltransferase"
"PF04192","Utp21 specific WD40 associated putative domain"
"PF04193","PQ loop repeat"
"PF04194","Programmed cell death protein 2, C-terminal putative domain"
"PF04198","Putative sugar-binding domain"
"PF04199","Putative cyclase"
"PF04203","Sortase"
"PF04204","Homoserine O-succinyltransferase"
"PF04206","Tetrahydromethanopterin S-methyltransferase, subunit E"
"PF04208","Tetrahydromethanopterin S-methyltransferase, subunit A"
"PF04209","homogentisate 1,2-dioxygenase"
"PF04212","MIT (microtubule interacting and transport) domain"
"PF04215","SgaT_UlaA"
"PF04216","FdhE"
"PF04218","CENP-B N-terminal DNA-binding domain"
"PF04221","RelB"
"PF04222","Protein of unknown function (DUF416)"
"PF04224","Protein of unknown function, DUF417"
"PF04225","OapA"
"PF04227","Indigoidine synthase A like protein"
"PF04229","GrpB protein"
"PF04230","PS_pyruv_trans"
"PF04231","HMMPfam"
"PF04232","SpoVS"
"PF04233","Phage_Mu_F"
"PF04234","CopC"
"PF04235","Protein of unknown function (DUF418)"
"PF04237","YjbR"
"PF04239","Protein of unknown function (DUF421)"
"PF04240","DUF422"
"PF04241","Protein of unknown function (DUF423)"
"PF04243","HMMPfam"
"PF04244","Deoxyribodipyrimidine photo-lyase-related protein"
"PF04245","NA37"
"PF04246","RseC_MucC"
"PF04248","Domain of unknown function (DUF427)"
"PF04250","Protein of unknown function (DUF429)"
"PF04252","Predicted SAM-dependent RNA methyltransferase"
"PF04253","Transferrin receptor-like dimerisation domain"
"PF04255","Protein of unknown function (DUF433)"
"PF04257","Exodeoxyribonuclease V, gamma subunit"
"PF04258","Signal peptide peptidase"
"PF04261","Dyp-type peroxidase family"
"PF04263","Thiamin pyrophosphokinase, catalytic domain"
"PF04264","YceI"
"PF04265","Thiamin pyrophosphokinase, vitamin B1 binding domain"
"PF04266","ASCH domain"
"PF04267","Sarcosine oxidase, delta subunit family"
"PF04268","Sarcosine oxidase, gamma subunit family"
"PF04271","DnaD"
"PF04273","Putative phosphatase (DUF442)"
"PF04275","Phosphomevalonate kinase"
"PF04277","Oxaloacetate decarboxylase, gamma chain"
"PF04279","Intracellular septation protein A"
"PF04280","Tim44-like domain"
"PF04281","Mitochondrial import receptor subunit Tom22"
"PF04284","Protein of unknown function (DUF441)"
"PF04285","DUF444"
"PF04286","DUF445"
"PF04287","DUF446"
"PF04290","DctQ"
"PF04293","SpoVR like protein"
"PF04294","VanW"
"PF04295","D-galactarate dehydratase / Altronate hydrolase, C terminus"
"PF04296","Protein of unknown function (DUF448)"
"PF04297","UPF0122"
"PF04298","Zn_peptidase_2"
"PF04299","Putative FMN-binding domain"
"PF04300","F-box associated region"
"PF04301","DUF452"
"PF04302","DUF451"
"PF04303","PrpF protein"
"PF04304","DUF454"
"PF04305","Protein of unknown function DUF455"
"PF04306","DUF456"
"PF04307","DUF457"
"PF04308","DUF458"
"PF04309","G3P_antiterm"
"PF04312","Protein of unknown function (DUF460)"
"PF04313","HSDR_N"
"PF04314","Protein of unknown function (DUF461)"
"PF04316","FlgM"
"PF04318","DUF468"
"PF04320","DUF469"
"PF04321","RmlD substrate binding domain"
"PF04324","BFD-like [2Fe-2S] binding domain"
"PF04325","Protein of unknown function DUF465"
"PF04326","Divergent AAA domain"
"PF04327","Protein of unknown function (DUF464)"
"PF04329","DUF470"
"PF04330","DUF471"
"PF04331","DUF472"
"PF04337","Protein of unknown function, DUF480"
"PF04338","Protein of unknown function, DUF481"
"PF04339","Protein of unknown function, DUF482"
"PF04340","DUF484"
"PF04343","Protein of unknown function, DUF488"
"PF04345","Chor_lyase"
"PF04356","Protein of unknown function (DUF489)"
"PF04357","DUF490"
"PF04360","Serglycin"
"PF04363","Protein of unknown function (DUF496)"
"PF04365","Protein of unknown function (DUF497)"
"PF04366","Family of unknown function (DUF500)"
"PF04371","Porphyromonas-type peptidyl-arginine deiminase"
"PF04376","Arginine-tRNA-protein transferase, N terminus"
"PF04377","Arginine-tRNA-protein transferase, C terminus"
"PF04379","DUF525"
"PF04382","SAB domain"
"PF04383","KilA-N domain"
"PF04385","FAINT"
"PF04386","Stringent starvation protein B"
"PF04387","Protein tyrosine phosphatase-like protein, PTPLA"
"PF04388","Hamartin protein"
"PF04389","Peptidase family M28"
"PF04392","ABC transporter substrate binding protein"
"PF04393","Protein of unknown function (DUF535)"
"PF04394","DUF536"
"PF04396","Protein of unknown function DUF537"
"PF04397","LytTR"
"PF04399","Glutaredoxin 2, C terminal domain"
"PF04401","DUF540"
"PF04402","Protein of unknown function (DUF541)"
"PF04404","ERF superfamily"
"PF04405","ScdA_N"
"PF04406","Type IIB DNA topoisomerase"
"PF04408","Helicase associated domain (HA2)"
"PF04410","Gar1/Naf1 RNA binding region"
"PF04412","Protein of unknown function (DUF521)"
"PF04417","DUF501"
"PF04418","Domain of unknown function (DUF543)"
"PF04419","4F5 protein family"
"PF04420","CHD5-like protein"
"PF04421","Mss4"
"PF04422","Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term"
"PF04423","Rad50 zinc hook motif"
"PF04424","Protein of unknown function (DUF544)"
"PF04425","Bul1 N terminus"
"PF04426","Bul1 C terminus"
"PF04427","Brix domain"
"PF04428","Choline kinase N terminus"
"PF04430","Protein of unknown function (DUF498/DUF598)"
"PF04433","SWIRM domain"
"PF04434","SWIM zinc finger"
"PF04437","RINT-1 / TIP-1 family"
"PF04438","HIT zinc finger"
"PF04442","Cytochrome c oxidase assembly protein CtaG/Cox11"
"PF04444","Catechol dioxygenase N terminus"
"PF04446","tRNAHis guanylyltransferase"
"PF04449","CS1 type fimbrial major subunit"
